Date,Open,Close,High,Volume,Movement,Daily_Return,Volatility,Close_lag1,High_lag1,Volume_lag1,Daily_Return_lag1,Volatility_lag1
2011-06-01,0.49,0.47,0.49,762208000.0,0,-6.000000000000005,4.276387005217983,0.5,0.5,1200716000.0,4.166666666666674,2.1550460336265918
2011-06-02,0.47,0.47,0.48,607592000.0,0,0.0,4.276387005217983,0.47,0.49,762208000.0,-6.000000000000005,4.276387005217983
2011-06-03,0.47,0.46,0.47,549300000.0,0,-2.127659574468077,3.9288280510395315,0.47,0.48,607592000.0,0.0,4.276387005217983
2011-06-06,0.46,0.45,0.46,435988000.0,0,-2.1739130434782594,3.7110150259171832,0.46,0.47,549300000.0,-2.127659574468077,3.9288280510395315
2011-06-07,0.45,0.45,0.45,433956000.0,0,0.0,2.450936224428649,0.45,0.46,435988000.0,-2.1739130434782594,3.7110150259171832
2011-06-08,0.44,0.43,0.45,569288000.0,0,-4.444444444444451,1.8511723794704757,0.45,0.45,433956000.0,0.0,2.450936224428649
2011-06-09,0.43,0.43,0.43,741632000.0,0,0.0,1.8511723794704757,0.43,0.45,569288000.0,-4.444444444444451,1.8511723794704757
2011-06-10,0.43,0.42,0.43,493548000.0,0,-2.3255813953488413,1.8633642033437343,0.43,0.43,741632000.0,0.0,1.8511723794704757
2011-06-13,0.42,0.42,0.43,574760000.0,0,0.0,1.9996728027262354,0.42,0.43,493548000.0,-2.3255813953488413,1.8633642033437343
2011-06-14,0.42,0.42,0.43,534576000.0,0,0.0,1.9996728027262354,0.42,0.43,574760000.0,0.0,1.9996728027262354
2011-06-15,0.42,0.41,0.42,935916000.0,0,-2.3809523809523836,1.2890860162594455,0.42,0.43,534576000.0,0.0,1.9996728027262354
2011-06-16,0.41,0.4,0.42,1024908000.0,0,-2.4390243902438935,1.3052109734315094,0.41,0.42,935916000.0,-2.3809523809523836,1.2890860162594455
2011-06-17,0.4,0.39,0.4,1467884000.0,0,-2.500000000000002,1.337101550967312,0.4,0.42,1024908000.0,-2.4390243902438935,1.3052109734315094
2011-06-20,0.39,0.39,0.4,745960000.0,0,0.0,1.337101550967312,0.39,0.4,1467884000.0,-2.500000000000002,1.337101550967312
2011-06-21,0.39,0.39,0.4,704276000.0,0,0.0,1.337101550967312,0.39,0.4,745960000.0,0.0,1.337101550967312
2011-06-22,0.39,0.39,0.4,651720000.0,0,0.0,1.3527793233487628,0.39,0.4,704276000.0,0.0,1.337101550967312
2011-06-23,0.38,0.4,0.4,744024000.0,0,2.564102564102577,1.7905166943854833,0.39,0.4,651720000.0,0.0,1.3527793233487628
2011-06-24,0.4,0.39,0.4,529052000.0,0,-2.500000000000002,1.7905166943854833,0.4,0.4,744024000.0,2.564102564102577,1.7905166943854833
2011-06-27,0.39,0.38,0.39,1142152000.0,0,-2.564102564102566,2.1300964719041917,0.39,0.4,529052000.0,-2.500000000000002,1.7905166943854833
2011-06-28,0.38,0.38,0.39,692200000.0,0,0.0,2.1300964719041917,0.38,0.39,1142152000.0,-2.564102564102566,2.1300964719041917
2011-06-29,0.38,0.39,0.39,960544000.0,0,2.6315789473684292,2.5651992647175264,0.38,0.39,692200000.0,0.0,2.1300964719041917
2011-06-30,0.39,0.39,0.4,652300000.0,0,0.0,2.15443701963391,0.39,0.39,960544000.0,2.6315789473684292,2.5651992647175264
2011-07-01,0.39,0.4,0.4,540804000.0,0,2.564102564102577,2.161562520693127,0.39,0.4,652300000.0,0.0,2.15443701963391
2011-07-05,0.4,0.39,0.4,535296000.0,0,-2.500000000000002,2.1387198246388417,0.4,0.4,540804000.0,2.564102564102577,2.161562520693127
2011-07-06,0.39,0.39,0.39,529580000.0,0,0.0,2.1387198246388417,0.39,0.4,535296000.0,-2.500000000000002,2.1387198246388417
2011-07-07,0.39,0.39,0.39,986136000.0,0,0.0,1.7905166943854836,0.39,0.39,529580000.0,0.0,2.1387198246388417
2011-07-08,0.38,0.38,0.39,619516000.0,0,-2.564102564102566,2.1300964719041917,0.39,0.39,986136000.0,0.0,1.7905166943854836
2011-07-11,0.37,0.37,0.37,714388000.0,0,-2.631578947368418,1.4058028782754999,0.38,0.39,619516000.0,-2.564102564102566,2.1300964719041917
2011-07-12,0.37,0.36,0.37,867604000.0,0,-2.7027027027027084,1.4428736063603138,0.37,0.37,714388000.0,-2.631578947368418,1.4058028782754999
2011-07-13,0.37,0.36,0.37,634368000.0,1,0.0,1.4428736063603138,0.36,0.37,867604000.0,-2.7027027027027084,1.4428736063603138
