,Date,Open,Close,High,Volume,aggregate_sentiment_score,daily_return,conditional_volatility,lagged_volatility_1,lagged_volatility_2,lagged_volatility_3,volatility_shocks
904,2023-03-15,3876.73,3891.92,3894.26,6594010000.0,-2.89,0.00391825069065941,1.2363916797691896,0.9407036157182869,0.884554570374371,0.8884619550800252,-1.4126532718424132
924,2023-03-14,3894.01,3919.29,3937.29,5665870000.0,-0.88,0.0064920223625516485,1.1293316525848194,1.2363916797691896,0.9407036157182869,0.884554570374371,-0.9178084540502169
934,2023-03-13,3835.12,3855.76,3905.05,6558020000.0,-1.6099999999999999,0.005381839420930852,1.0565317748276157,1.1293316525848194,1.2363916797691896,0.9407036157182869,-0.8791265098461577
940,2023-03-10,3912.77,3861.59,3934.05,5518190000.0,-1.45,-0.013080247497297269,0.9820835038534381,1.0565317748276157,1.1293316525848194,1.2363916797691896,0.8830610710674668
951,2023-03-09,3998.65,3918.32,4017.81,4445260000.0,-0.78,-0.020089280132044546,1.071434246113988,0.9820835038534381,1.0565317748276157,1.1293316525848194,3.0962427211553414
957,2023-03-08,3987.55,3992.01,4000.4,3535570000.0,-0.54,0.0011184812729621036,1.3238242490745333,1.071434246113988,0.9820835038534381,1.0565317748276157,-1.7488349970604893
970,2023-03-07,4048.26,3986.37,4050.0,3922500000.0,-0.13999999999999999,-0.0152880496806036,1.1980308615660444,1.3238242490745333,1.071434246113988,0.9820835038534381,1.0612041975361293
980,2023-03-06,4055.14,4048.41,4078.48,4000870000.0,0.65,-0.001659622109224347,1.2855554681681616,1.1980308615660444,1.3238242490745333,1.071434246113988,-1.6054843032140174
984,2023-03-03,3998.02,4045.63,4048.29,4084730000.0,0.01,0.011908394655354433,1.1673442142472628,1.2855554681681616,1.1980308615660444,1.3238242490745333,-0.06396232745244568
988,2023-03-02,3938.67,3981.35,3990.84,4244900000.0,-0.1799999999999999,0.010836145196221017,1.1687623530213955,1.1673442142472628,1.2855554681681616,1.1980308615660444,-0.3001691127512509
998,2023-03-01,3963.34,3951.38,3971.72,4249480000.0,-2.91,-0.0030176568247992945,1.150817195387486,1.1687623530213955,1.1673442142472628,1.2855554681681616,-1.1997806006362148
1016,2023-02-28,3977.18,3970.14,3997.5,5043400000.0,-0.87,-0.0017700984114372405,1.054326638723488,1.150817195387486,1.1687623530213955,1.1673442142472628,-1.0595153322756012
1026,2023-02-27,3992.36,3982.23,4018.05,3836950000.0,-0.21000000000000002,-0.002537346331493179,0.9620366185291803,1.054326638723488,1.150817195387486,1.1687623530213955,-0.8325165011712434
1028,2023-02-24,3973.23,3970.04,3978.25,3877700000.0,0.25,-0.0008028732290856694,0.8846528064708602,0.9620366185291803,1.054326638723488,1.150817195387486,-0.765316142089671
1040,2023-02-23,4018.6,4012.32,4028.3,3952940000.0,-0.73,-0.001562733290200504,0.8077694800395208,0.8846528064708602,0.9620366185291803,1.054326638723488,-0.6094376254006781
1046,2023-02-22,4001.83,3991.05,4017.37,4079320000.0,0.06,-0.0026937676013223315,0.7429860265119475,0.8077694800395208,0.8846528064708602,0.9620366185291803,-0.4492452949376477
1050,2023-02-21,4052.35,3997.34,4052.35,4121590000.0,-1.82,-0.013574839290781834,0.6942920103215418,0.7429860265119475,0.8077694800395208,0.8846528064708602,1.5024082556629017
