,Date,Open,Close,High,Movement,aggregate_sentiment_score,lagged_sentiment_score
150,2022-11-30,3957.17,4080.11,4080.11,0,-0.92,-1.2
151,2022-11-29,3964.18,3957.62,3976.77,1,-1.2,-1.52
152,2022-11-28,4005.36,3963.93,4012.27,0,-1.52,-0.19
153,2022-11-25,4023.34,4026.12,4034.02,0,-0.19,-1.65
154,2022-11-23,4000.3,4027.26,4033.78,0,-1.65,0.77
155,2022-11-22,3965.51,4003.58,4005.87,1,0.77,-0.35000000000000003
156,2022-11-21,3956.22,3949.93,3962.0,0,-0.35000000000000003,0.43
157,2022-11-18,3966.38,3965.34,3979.88,1,0.43,-1.4000000000000001
158,2022-11-17,3919.26,3946.56,3954.33,0,-1.4000000000000001,-1.7100000000000002
159,2022-11-16,3976.82,3958.79,3983.09,0,-1.7100000000000002,0.18
160,2022-11-15,4006.4,3991.72,4028.84,1,0.18,0.16999999999999998
161,2022-11-14,3977.96,3957.25,4008.96,0,0.16999999999999998,0.37
162,2022-11-11,3963.71,3992.92,4001.47,1,0.37,0.5199999999999999
163,2022-11-10,3859.88,3956.37,3958.33,1,0.5199999999999999,-0.72
164,2022-11-09,3810.93,3748.57,3818.19,0,-0.72,0.5599999999999999
165,2022-11-08,3817.02,3828.11,3859.39,1,0.5599999999999999,0.68
166,2022-11-07,3780.7,3806.8,3813.94,1,0.68,0.13000000000000003
167,2022-11-04,3766.97,3770.55,3796.34,1,0.13000000000000003,-0.24000000000000002
168,2022-11-03,3733.25,3719.88,3750.59,0,-0.24000000000000002,-0.91
169,2022-11-02,3852.89,3759.68,3894.43,0,-0.91,-0.42000000000000004
170,2022-11-01,3901.79,3856.1,3911.79,1,-0.42000000000000004,-0.61
171,2022-10-31,3881.85,3871.97,3893.72,0,-0.61,-0.51
172,2022-10-28,3808.26,3901.06,3905.41,1,-0.51,0.36
173,2022-10-27,3834.68,3807.3,3859.94,1,0.36,-2.12
174,2022-10-26,3825.96,3830.6,3886.14,0,-2.12,0.44
175,2022-10-25,3799.43,3859.11,3862.85,1,0.44,0.10000000000000005
176,2022-10-24,3762.01,3797.34,3810.73,1,0.10000000000000005,0.07000000000000002
177,2022-10-21,3657.1,3752.75,3757.88,0,0.07000000000000002,0.67
178,2022-10-20,3689.05,3665.78,3736.0,0,0.67,-0.64
179,2022-10-19,3703.11,3695.15,3728.58,0,-0.64,3.36
180,2022-10-18,3746.26,3719.97,3762.79,1,3.36,1.09
181,2022-10-17,3638.64,3677.94,3689.72,1,1.09,0.9599999999999999
182,2022-10-14,3690.4,3583.07,3712.0,1,0.9599999999999999,0.10999999999999999
183,2022-10-13,3520.37,3669.9,3685.4,0,0.10999999999999999,0.32
184,2022-10-12,3590.83,3577.03,3608.34,1,0.32,-0.35
185,2022-10-11,3595.86,3588.84,3640.65,0,-0.35,0.44
186,2022-10-10,3647.51,3612.38,3652.16,1,0.44,0.23
187,2022-10-07,3706.73,3639.65,3706.73,0,0.23,-0.43
188,2022-10-06,3771.96,3744.52,3797.92,0,-0.43,-1.5
189,2022-10-05,3753.25,3783.28,3806.9,0,-1.5,-0.07000000000000002
190,2022-10-04,3726.45,3790.92,3791.91,1,-0.07000000000000002,-0.88
191,2022-10-03,3609.78,3678.42,3698.35,1,-0.88,-0.62
192,2022-09-30,3633.47,3585.62,3671.43,0,-0.62,-1.78
193,2022-09-29,3687.01,3640.46,3687.01,0,-1.78,-0.29
194,2022-09-28,3651.93,3719.04,3736.73,1,-0.29,-0.84
195,2022-09-27,3686.43,3647.29,3717.53,1,-0.84,-0.91
196,2022-09-26,3682.71,3655.04,3715.66,0,-0.91,-1.35
197,2022-09-23,3727.13,3693.22,3727.13,0,-1.35,-0.38
198,2022-09-22,3782.36,3757.98,3790.89,0,-0.38,0.89
199,2022-09-21,3871.39,3789.92,3907.07,1,0.89,-1.5899999999999999
200,2022-09-20,3875.22,3855.92,3876.01,0,-1.5899999999999999,0.15
201,2022-09-19,3849.9,3899.88,3900.44,0,0.15,-1.07
202,2022-09-16,3880.94,3873.33,3880.94,0,-1.07,-0.3799999999999999
203,2022-09-15,3932.4,3901.35,3959.13,0,-0.3799999999999999,0.2
204,2022-09-14,3940.72,3946.01,3961.93,1,0.2,-0.75
205,2022-09-13,4037.12,3932.68,4037.12,0,-0.75,0.8899999999999999
206,2022-09-12,4083.66,4110.41,4119.27,1,0.8899999999999999,0.38
207,2022-09-09,4022.93,4067.36,4076.81,1,0.38,0.11
208,2022-09-08,3959.93,4006.17,4010.5,0,0.11,-0.30000000000000004
209,2022-09-07,3909.42,3979.87,3987.88,1,-0.30000000000000004,-0.32999999999999996
210,2022-09-06,3930.88,3908.18,3942.55,1,-0.32999999999999996,-0.21
211,2022-09-02,3994.65,3924.26,4018.42,1,-0.21,-1.85
212,2022-09-01,3936.72,3966.85,3970.22,0,-1.85,-1.31
213,2022-08-31,4000.66,3955.0,4015.37,1,-1.31,-0.33
214,2022-08-30,4041.25,3986.15,4044.97,1,-0.33,-1.68
215,2022-08-29,4034.58,4030.61,4062.98,0,-1.68,-1.01
216,2022-08-26,4198.74,4057.65,4203.04,0,-1.01,-0.1399999999999999
217,2022-08-25,4153.25,4199.12,4200.54,1,-0.1399999999999999,-0.48
218,2022-08-24,4126.54,4140.77,4156.56,0,-0.48,-1.12
219,2022-08-23,4133.08,4128.72,4159.77,0,-1.12,-1.18
220,2022-08-22,4195.08,4137.99,4195.08,0,-1.18,-0.24999999999999997
221,2022-08-19,4266.31,4228.47,4266.31,0,-0.24999999999999997,-0.32999999999999996
222,2022-08-18,4273.12,4283.74,4292.52,0,-0.32999999999999996,-0.29000000000000004
223,2022-08-17,4280.39,4274.04,4302.18,0,-0.29000000000000004,0.3
224,2022-08-16,4290.45,4305.2,4325.27,0,0.3,-0.19
